event_description,location_description,location_accuracy,landslide_trigger,landslide_size,landslide_setting,landslide_category,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_population,rain,earthquake,downpour,snow,other,small_scale,medium_scale,large_scale,home_destroyed,mudslide,landslide
"Boulders up to one meter in diameter fell this weekend on the new San José-Caldera highway due to heavy rains.  Landslides left three people injured, who had to be transferred to medical facilities.  In addition, debris and rocks on the road caused damage to several cars and forced the road to close from 6 pm to 11:50 pm on Staurday.  Most of the landslides were concentrated on “road sector II” (Ciudad Colón-Orotina).",“road sector II”(?) (Ciudad Colón-Orotina) San Jose-Caldera highway(23),10km,downpour,medium,above_road,landslide,0.0,3.0,nan,http://thecostaricanews.com/wp-content/uploads/2010/05/landslide.jpg,nan,glc,1886.0,Costa Rica,CR,14448.0,1,0,1,0,0,0,1,0,0,0,1
"A landslide in a coal mine in Bulgaria has claimed lives of at least two people and left others two missing. Bodies of miners were found buried in mud and rocks underneath 50 meters of land masses. Fire trucks and ambulances have already reached the site, Sofia News Agency reported. Coal mine landslide occurred at 9:45 a.m. local time in the Oranovo mine near Simitli town. It is located about 110 km south of BulgariaÕs capital Sofia. This is the fourth major landslide in the Oranovo mine in the past eight years.",Oranovo Mine Near Simitli Town,5km,mining,medium,unknown,landslide,4.0,0.0,nan,nan,nan,glc,5108.0,Bulgaria,BG,6729.0,0,0,0,0,0,0,1,0,0,0,1
"Rescue workers struggled to retrieve bodies buried inside their homes after a landslide near the town of Ocampo, where six died Friday, said Michoacan State Attorney General Jesus Montejano.",Ocampo town of Michoacan,50km,downpour,medium,unknown,mudslide,1.0,0.0,nan,nan,nan,glc,1471.0,Mexico,MX,2817.0,1,0,1,0,0,0,1,0,1,1,0
"DAVAO CITY, Philippines (Xinhua) - At least one person got injured and hundreds fled as a low pressure area (LPA) hovering over southern Philippines triggered landslides and flooding there, local officials said today.  Several houses were also destroyed as parts of a gold-rich mining village in Monkayo, a town in Southern Philippine province of Compostela Valley, were hit by two landslide incidents today, Chief Inspector Jed Clamor, regional police spokesperson for Southern Mindanao, said. At around 2 a.m. today, a five-year-old boy sustained injuries in a landslide occurred in the mining community of Mt. Diwata, Monkayo. Another landslide hit the area around 9 a.m., destroying a house but causing no further injuries, Clamor said.",Pili-an-Kandalid Rd Monkayo,10km,tropical_cyclone,medium,unknown,landslide,5.0,7.0,Agaton,nan,nan,glc,5759.0,Philippines,PH,3215.0,0,0,0,0,1,0,1,0,0,0,1
"A day after a landslide swept two villages in Myanmar's Kayah state killing at least eight people, rescuers continued to search on Monday for those missing, said official sources here. Triggered by heavy rainfall on Sunday afternoon, the landslide buried 30 houses in two villages in the mountainous region, Xinhua news agency reported. Rescue work was underway with the opening of relief camps in schools and hospitals to accommodate the victims, the sources said.","Kayah, Myanmar (Burma)",50km,downpour,medium,unknown,landslide,8.0,0.0,nan,nan,nan,glc,8686.0,Myanmar [Burma],MM,17293.0,1,0,1,0,0,0,1,0,0,0,1
"Earlier, only 13 bodies were recovered from the debris as the operation to retrieve other 27 missing persons was suspended since removing the heavy boulders was not possible manually, while the machinery could not be taken to the site due to absence of any road connectivity.",Saddal village in Pancheri block,25km,downpour,medium,unknown,mudslide,41.0,0.0,nan,http://daylifeimages.newscred.com/imageserve/e1821451dd16b40a39af757c7a3ec0f8/650x.jpg,nan,glc,6225.0,India,IN,1242.0,1,0,1,0,0,0,1,0,0,1,0
"Two other tourist destinations in the same region, Petrópolis and Nova Friburgo, were also badly affected with 25 deaths reported there. In Nova Friburgo, where a month's worth of rain fell in 24 hours, at least three firemen were killed when their vehicle was buried under falling debris. The latest mudslides to hit Rio follow similar disasters last April, when several inner-city favelas were destroyed by the rains. In the worst incident over 200 people were buried alive when the Morro do Bumba shantytown in Niteroi, over the bay from Rio, collapsed following heavy rain.",Petrópolis,5km,downpour,large,unknown,mudslide,56.0,0.0,nan,nan,nan,glc,2986.0,Brazil,BR,272691.0,1,0,1,0,0,0,0,1,0,1,0
"In Syangja district, landslides killed three personsÑthree-month-old Mina BK, Rita Bhattarai and Dil Bahadur SarkiÑin Sekham, Kuwakot and Chinnebas. A landslide in Chinnebas destroyed a school building and a suspension bridge.","Kuwakot, Syangja District",5km,downpour,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,5164.0,Nepal,NP,21867.0,1,0,1,0,0,0,1,0,0,0,1
"Landslides triggered by incessant rain killed three people and left another person missing in the northern Philippines on Saturday afternoon as rains spawned by tropical depression Onyok created further havoc in Typhoon Melor’s path.  Reports from national and local disaster monitoring agencies have put the latest death toll after a week of devastating weather at 41.  Provincial Disaster Risk Reduction and Management Office chairman Dr. Henry Buzar told GMA News that the landslide happened around 1.30 p.m. (0530GMT) amid heavy rains in Quezon province.  Among the dead were a one-year-old and a 10-year-old, while a four-year-old girl remains missing.  Buzar said that four houses were buried and several minor landslide incidents were reported in different parts of the province.  Almost 10,000 people have been evacuated in the Philippines south.",nan,unknown,continuous_rain,medium,natural_slope,landslide,3.0,0.0,nan,nan,nan,glc,9094.0,Philippines,PH,3119.0,1,0,0,0,0,0,1,0,0,0,1
The death toll from the carnage left by the passage of Tropical storm Erika is expected to rise. Unconfirmed reports out of Petite Savanne indicate that several bodies have been recovered including that of an entire family; and that the search and rescue operation continues in that village,Petite Savanne,5km,tropical_cyclone,large,above_road,mudslide,20.0,0.0,Erika,nan,nan,glc,7891.0,Dominica,DM,2608.0,0,0,0,0,1,0,0,1,0,1,0
"LANDSLIDES caused by rains blocked a road in the southern town of Argao and almost hit several houses in the City of Naga last Thursday night. No one was killed or injured in both incidents, authorities said.","Barangay Bulasa , Naga City",10km,downpour,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,3945.0,Philippines,PH,4418.0,1,0,1,0,0,0,1,0,0,0,1
"Dehradun, July 21 (PTI) Two persons were killed and five injured in Uttarakhand, where incessant rains triggered landslides in Garhwal and Kumaon region, blocking several routes and disrupted normal life.Scores of pilgrims were stranded as the debris from landslides was lying on the routes to 'Chardham'-- Yamunotri, Gangotri, Kedarnath and Badrinath, officials said.One person was killed and another injured when the roof of a bus stand collapsed after overnight heavy rains in Chamoli district.In Almora, a jeep skidded off the road and fell into a gorge leaving one person dead and four others injured, they said.In several places, mud house collapsed and crops were were damaged. 16 people have died and 70 have been injured in rain related incidents during this monsoon season.","Garhwal, Uttarakhand",25km,rain,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,3820.0,India,IN,8247.0,1,0,0,0,0,0,1,0,0,0,1
"BAJURA, AUG 24 -  A woman has been killed while three others injured in a landslide that took place at Gotri VDC-5 of the district on Monday.  The deceased has been identified as Laxmi Singh, 45, who was looking after her cattle when the incident took place.  Durga, Thammaya and Aula, who had accompanied Laxmi, were injured. They have been undergoing treatment at the local health centre.","Gotri VDC-5(Gotree), Bajura",25km,downpour,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,2315.0,Nepal,NP,9073.0,1,0,1,0,0,0,1,0,0,0,1
"A person injured in Saturday´s landslide in Devala village of Gaira VDC-1 in Doti district died on Sunday, taking the number of landslide deaths in the district to three.",Devala village of Gaira VDC-1 in Doti district,5km,downpour,medium,unknown,landslide,3.0,0.0,nan,nan,nan,glc,1158.0,Nepal,NP,23416.0,1,0,1,0,0,0,1,0,0,0,1
10 deaths reported b/w Karimnagar and Kurnool,Karimnagar,25km,rain,medium,unknown,landslide,10.0,0.0,nan,nan,nan,glc,98.0,India,IN,228745.0,1,0,0,0,0,0,1,0,0,0,1
"Unrelated to Typhoon Neoguri the rainy season front as brought severe flooding and landslides across northern Japan. The worst has been in the Hokoriku region where over 30,000 people have been told to evacuate. One location in the region “____ ___” 300mm of rainfall in the past 24hrs alone. In Nagano several landslides have left at least one dead and 4 injured. The first landslide occurred around 5PM JST. One boy died in this large slide while four more (his family) was hospitalized. Another landslide destroyed at least 5 homes in Nagano. This one was reported to be hundreds of meters long along a steep hill side in to a river bed. More information is still be gathered on any injuries that could have occurred. Image below is the second slide.","Nagiso, Nagano",25km,tropical_cyclone,medium,unknown,landslide,1.0,4.0,Neoguri (Florita),http://blogs.agu.org/landslideblog/files/2014/07/14_08-Nagano-1-e1406360984343.jpg,nan,glc,6132.0,Japan,JP,55011.0,0,0,0,0,1,0,1,0,1,0,1
"A man, identified as Krisada Sumuang, a 29-year-old teacher, was killed when a landslide occurred in Songkhla municipality at about 4 a.m. on Thursday. Rescue workers spent about an hour retrieving his body. The governor said the landslides could happen again due to continuous heavy rain. The Southern weather department has reported that the heavy rains will continue for a few more days.","Muang district, Songkhla municipality ",5km,downpour,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,2939.0,Thailand,TH,84264.0,1,0,1,0,0,0,1,0,0,0,1
"Sept. 5, 2010 at 11:18 PM  COLOMBA, Guatemala, Sept. 5 (UPI) -- Heavy rains that triggered massive mudslides were blamed for at least 36 deaths in Guatemala during the weekend with dozens more missing, officials said Sunday.  Britain's Sky News reported at least 36 people had been confirmed killed in mudslides and flooding since Saturday.  In addition, several dozen people trying to dig out victims of an earlier mudslide that buried a bus were themselves buried by a second slide, Sky News said.  ""A wall of earth fell on a bus and around 100 local people organised themselves to dig out the victims,"" fire department spokesman Sergio Vasquez said.  ""Then another landslide came along and buried them.""  The Latin American Herald Tribune reported at least 40 people and perhaps more than 100 were caught in the second slide.A fire department spokesman told the Tribune 15 people were pulled alive from the mud and rubble.  The Guatemalan newspaper Prensa Libre reported that besides those kil",Jocotenango village,5km,downpour,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,2387.0,Guatemala,GT,17918.0,1,0,1,0,0,0,1,0,0,0,1
"affected regions all over,10's of thousands were displaced, homes here damaged or destoyed 20,000 were left homeless, roads were blocked and there was no power.","Nuwara Eliya, Sri Lanka",10km,rain,large,unknown,landslide,2.0,0.0,nan,nan,nan,glc,10.0,Sri Lanka,LK,25775.0,1,0,0,0,0,0,0,1,1,0,1
"The incident occurred around 11 am when a group of commuters were crossing the Karsingsa block point on foot towards Banderdewa, the gateway of Arunachal capital, Itanagar, when a massive landslide hit the victims and buried them alive after dragging them for about 100 metres.  The killed have been identified as 22-year-old Gichik Yake (Tagru) and her husband Tagru Tassa (27) of Tali in Kurung Kumey district, Kamgouthang Kipgen (29) and Jhon Kipgen (16) – both hailing from Manipur, and eight-year-old boy Hriky Dekam (Tamin) from Daporijo, Upper Subansiri district. The police later brought the bodies to the Arunachal State Hospital morgue for identification and later handed them over to their relatives after completing all formalities.",Karsingsa block point,5km,unknown,small,above_road,landslide,5.0,0.0,nan,nan,nan,glc,6222.0,India,IN,26912.0,0,0,0,0,0,0,0,0,0,0,1
"Disaster-ravaged northern Japan has now been overwhelmed by floods. At least one person is known to have died and 300 000 have been warned to leave their homes. This is the weather system that has already killed dozens on the Korean peninsula.  Forecasters are warning that the torrential rain is likely to continue.  Sanjo City is the regional capital of Nigata Prefecture. More than 600 millimetres of rain have fallen in the city since Wednesday. One man in Fukushima was caught in a mudslide as he built a sandbag barrier to hold off the floods.  Experts have warned the the quake-hit areas are more prone to mudslides, as the shaking has weakened the topsoil.","Sanjo City, Japan",5km,downpour,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,3869.0,Japan,JP,44284.0,1,0,1,0,0,0,1,0,1,0,1
mudslide swept away the security patrol building the victim was in. Ten others were injured and access roads to the mine were closed as of 8 a.m. The accident occurred about 30 kilometers from mine operations and was linked to heavy rains this weekend.,"Los Bronces, Anglo Mine, Codelco, Sur division",25km,downpour,medium,unknown,mudslide,1.0,0.0,nan,nan,nan,glc,1139.0,Chile,CL,212695.0,1,0,1,0,0,0,1,0,0,1,0
"Due to cold spell of air circulation, the mountainous northern provinces experienced heavy fall of rain, flood and landslides, causing six deaths and losses of vegetables.  In the northern province of Lao Cai, another landslide claimed the life of three year old Vang Thi Lau who was swept away and not yet found, bringing the death toll up to six.",Lao Cai province,unknown,downpour,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,2129.0,Vietnam,VN,138622.0,1,0,1,0,0,0,1,0,0,0,1
Guests at the YMCA Anan Kokusai Kaiyo Center were left trapped after the hostel's car park collapsed in the landslide.,YMCA Anan Kokusai Kaiyo Center,exact,tropical_cyclone,small,below_road,mudslide,1.0,0.0,Nakri,http://i.dailymail.co.uk/i/pix/2014/08/05/1407232753776_Image_galleryImage_ANAN_JAPAN_AUGUST_04_CHIN.JPG,nan,glc,6429.0,Japan,JP,55421.0,0,0,0,0,1,0,0,0,0,1,0
Hillslope came down and crushed family,somewhere on the island,50km,tropical_cyclone,small,unknown,mudslide,2.0,0.0,Hurricane Dean,nan,nan,glc,186.0,Dominica,DM,702.0,0,0,0,0,1,0,0,0,0,1,0
"Dehra Dun, Jun 1 (PTI) A man was killed in landslides triggered by rains in Uttarkashi as light to moderate rains lashed most parts of Uttarakhand today bringing cold conditions in the hill state.  The rains triggered landslides at Chhatanga village in Uttarkashi district on Rishikesh-Yamunotri National Highway last evening, killing a 45-year-old man, officials said.","Chhatanga(?) village on Rishikesh-Yamunotri highway, Uttarkashi ",50km,rain,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,3559.0,India,IN,25753.0,1,0,0,0,0,0,1,0,0,0,1
"Como Alejandro García Pulgarín, de 23 años de edad, y Elid Rendón de 53, fueron identificados los dos mineros que murieron por un alud de tierra, que taponó una vivienda en Donmatías, norte de Antioquia, donde otro hombre resultó herido.",La Montera,5km,unknown,medium,mine,landslide,2.0,1.0,nan,http://www.bluradio.com/sites/default/files/styles/escale531/public/mineros_3_-_elespectador_0.jpg,nan,glc,6670.0,Colombia,CO,16707.0,0,0,0,0,0,0,1,0,0,0,1
"A landslide swept through two villages in Papua New Guinea on Tuesday, covering much of the settlements in mud and leaving up to 40 people missing, officials and residents told Australian media. The accident, which occurred in the island state's Southern Highlands on Tuesday morning, prompted U.S. oil giant Exxon Mobil to stop work at its nearby $15.7 billion liquefied natural gas (PNG LNG) project.Reports said, ""this is a very huge landslide that covered a 1 kilometer area. We are still trying to find out the cause but at this stage we believe the gas project run by Esso Highlands Limited was a contributor because they had been digging for limestone in the area.""","Tari, Southern Highlands on Highlands Hwy",10km,continuous_rain,large,mine,mudslide,25.0,0.0,nan,http://www.thenation.com/sites/default/files/imagecache/main_node_view_image/img_0914_otu_img.jpg,nan,glc,4169.0,Papua New Guinea,PG,8186.0,1,0,0,0,0,0,0,1,0,1,0
"Eight bodies have been recovered from the wreckage left by a mudslide that swept away part of an upscale neighborhood in the Colombian city of Medellin. The mudslide in El Poblado, Medellin’s most affluent district, swept away houses as their occupants slept early on Sunday morning. Northern industrial city Medellin, like much of the rest of Colombia, has been hit by seasonal rains that have saturated the earth, leading to deadly avalanches in hilly areas. 68,000 cubic meters (2.4 million cubic feet) of mud fell on a condominium of roughly 20 homes and buried six of them completely.","El Poblado, Medellin",10km,downpour,large,unknown,mudslide,8.0,0.0,nan,nan,nan,glc,889.0,Colombia,CO,1999979.0,1,0,1,0,0,0,0,1,1,1,0
"Landslides caused by heavy rains killed three children from the same family when their house was swept away near Haiti's northern second city, Cap-Haitian, officials said Thursday.",Cap-Haitian,10km,continuous_rain,small,unknown,landslide,3.0,1.0,nan,http://www.brecorder.com/images/stories/pics2011/may/haiti_400.jpg,nan,glc,6722.0,Haiti,HT,134815.0,1,0,0,0,0,0,0,0,0,0,1
30 steps of the serpentine stairway over river Chambal collapsed yesterday after a landslide and heavy rains,"Gaiparnath Mahadev temple, foothills of Chambal ravines",50km,rain,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,706.0,India,IN,763088.0,1,0,0,0,0,0,1,0,0,0,1
heavy rain loosened soil and caused landslide that trapped a minibus,Ormonli village of Sirvan town of Siirt province,25km,downpour,medium,unknown,landslide,3.0,0.0,nan,nan,nan,glc,783.0,Turkey,TR,3574.0,1,0,1,0,0,0,1,0,0,0,1
"The Dehradun Met department says the state capital received a record 340 mm of rainfall on Monday and the Met department has forecast more heavy rains in the next 24 hours. Several roads, including the National Highway 24, have been blocked to avoid any more traffic jams. Landslides have been continuing in various parts of the state. Cloudbursts and landslips killed 13 at Rambara in the district, they said adding a number of people were reported missing. Seventy-three houses were totally damaged in Rudraprayag, 60 in Pithoragarh, 19 in Uttarkashi, 10 in Dehradun and one each in Tehri and Bageshwar. (2nd article) Surrounded by dense green forest, with a waterfall nearby, the tiny village of Rambara was the most popular resting place for devotees trekking to Kedarnath from Gaurikund. But the flash floods that caused death and destruction at Kedarnath on June 16-17 spared none in Rambara. Nothing is left there, just nothing. The entire area, which housed around 100-150 shops and five hote","Rambara District, Uttarakhand",1km,downpour,large,unknown,landslide,13.0,0.0,nan,nan,nan,glc,4936.0,India,IN,2571.0,1,0,1,0,0,0,0,1,0,0,1
"At 3:30 a.m. of August 22, the landslide descended at Sitio Elizabeth in Taneg, Mankayan and covered the shanties of small-scale miners, where 16 people were reported inside their dwellings.",Mankayan,10km,unknown,large,unknown,landslide,16.0,0.0,nan,nan,nan,glc,7908.0,Philippines,PH,3543.0,0,0,0,0,0,0,0,1,0,0,1
"A Swiss regional train derailed Wednesday after a landslide washed away a section of track, sending at least one carriage into a steep embankment and injuring more than 10 passengers.",Tiefencastel,25km,downpour,small,natural_slope,debris_flow,0.0,11.0,nan,https://pbs.twimg.com/media/Bu7VRYPIAAAlmxQ.jpg,nan,glc,6479.0,Switzerland,CH,244.0,1,0,1,0,0,0,0,0,0,0,0
"NEW DELHI (AP) - A landslide triggered by torrential seasonal rains swept through a hilly region in southern India, killing at least 42 people, an official said Tuesday.  The landslide demolished nearly 300 tin-roofed mud huts Monday in the Ooty and Coonoor region of Tamil Nadu state, a state flood control official said on condition of anonymity because he was not authorized to talk to reporters. The region is nearly 1,120 miles (1,800 kilometers) south of the capital, New Delhi.  Rescuers found 14 bodies in the debris Monday and another 28 on Tuesday, the official said, adding that eight injured people were hospitalized.  NEW DELHI (AP) - A landslide triggered by torrential seasonal rains swept through a hilly region in southern India, killing at least 42 people, an official said Tuesday.  The landslide demolished nearly 300 tin-roofed mud huts Monday in the Ooty and Coonoor region of Tamil Nadu state, a state flood control official said on condition of anonymity because he was not au","Ooty and Coonoor, Tamil Nadu",25km,downpour,medium,unknown,landslide,42.0,0.0,nan,nan,nan,glc,1291.0,India,IN,98238.0,1,0,1,0,0,0,1,0,0,0,1
"The BBC is reporting at least 14 deaths in St. Lucia after rain from the Category 1 Hurricane Tomas caused a series of landslides on the mountainous island. The town of Soufriere on the island's southern end was especially hard-hit, according to local sources  -----  The town of Soufriere, home of the world-famous Pitons and several of St Lucia’s most picturesque sites, was the district worst affected by the storm. In addition to the tragic deaths and the victims unaccounted for, most of the area was ravaged by floods and massive landslides. Among the dead is the owner of the popular handicraft gallery Livity Arts Studio, Saby and his wife Eugenia.  Perched high up on a hill alongside the West Coast road leading into Soufriere, the building was destroyed by a landslide.  The community of Fond St Jacques, also in Soufriere, was the hardest hit area in the country. The bodies of a brother and sister were found buried in a mudslide which destroyed their home. Their mother and father are r","Livity Arts Studio(?), on a hill road on coast from Choiseul and Canaries to Soufriere, Saint Lucia",5km,tropical_cyclone,medium,unknown,landslide,2.0,0.0,Hurricane Tomas,nan,nan,glc,2660.0,Saint Lucia,LC,2918.0,0,0,0,0,1,0,1,0,1,0,1
"Two women were killed and two others injured in a mudslide at Sarmoli VDC of the district on Monday. According to local residents, a mud mound collapsed when the women were digging the mud at Bithang on Monday afternoon. One of the deceased has been identified as Manamati Karki of Sarmola VDC. The two other injured have been identified as Harina Karki and Janaki Karki of the same VDC, who have been receiving treatment in a local health centre.",Sarmoli Vdc,5km,mining,medium,unknown,mudslide,2.0,2.0,nan,nan,nan,test,5713.0,Nepal,NP,6758.0,0,0,0,0,0,0,1,0,0,1,0
"Monday, 22 November 2010 15:16   Heavy rains over the weekend left eight people dead and many roads blocked by landslides in what has been a record-setting rainy season across Colombia.  Eight people were killed in the department of Caldas. Five bodies have been recovered in San Daniel in the municipality of Pensilvania, which lies four hours from Manizales, while one person also disappeared from that location. A 4-year-old child in El Aguacate in the municipality of Marquetalia was killed when a landslide hit his home. His parents and sister were injured and taken to the hospital. Two elderly women were also killed when a landslide hit their home in Montebonito in the municipality of Marulanda. The event occurred over the weekend (20-21).","San Daniel, Pensilvania municipality, Caldas",5km,downpour,medium,unknown,landslide,5.0,0.0,nan,nan,nan,glc,2736.0,Colombia,CO,6224.0,1,0,1,0,0,0,1,0,1,0,1
"Eight people were killed in landslides caused by torrential rains in the Brazilian state of Pernambucu, the local office of civil defense reported on Friday.  According to authorities, seven of the victims were residents of the state capital, Resifi.  Heavy rains have persisted in the region since early June. According to the National Institute of Meteorology of Brazil, as of June 18 the amount of precipitation has exceeded 400 millimeters, with the monthly rate for this time of year being 352 millimeters. ","Resifi(Recife) north side, Pernambucu",10km,downpour,medium,unknown,landslide,5.0,0.0,nan,nan,nan,glc,1997.0,Brazil,BR,366754.0,1,0,1,0,0,0,1,0,0,0,1
On Sunday night at  about 7pm heavy downpour of rain resulted in flooding further causing a landslide that buried seven people.,Watut in Morobe Province,unknown,downpour,medium,unknown,landslide,7.0,0.0,nan,nan,nan,glc,9645.0,Papua New Guinea,PG,16042.0,1,0,1,0,0,0,1,0,0,0,1
"A landslide caused by heavy rains killed five and injured three in a mountainous farming region of Guatemala. A mud flow crushed a home in San Pedro Necta, Huehuetenango, a small town 300 kilometres northwest of the capital, trapping members of two families inside late on Friday, a spokesman for Guatemala's national disaster relief commission said. The landslide damaged up to a dozen other homes but rescuers don't believe any additional people are missing, he said.",San Pedro Necta,5km,downpour,small,natural_slope,mudslide,6.0,7.0,nan,https://pbs.twimg.com/media/Bo-VdS8CAAItnnI.jpg,nan,glc,6040.0,Guatemala,GT,3554.0,1,0,1,0,0,0,0,0,1,1,0
"Two children ages 12 and 17 were killed when a mudslide hit their house Saturday in Senahu, a town in Alta Verapaz province.Residents rescued three other members of the family.  -----  GUATEMALA CITY – At least five people dead, eight missing and hundreds of homes damaged and flooded made up part of the harm done by a weather system that hit Guatemala over the weekend, authorities said Monday.  At the same time in the northern province of Alta Verapaz a mudslide caused the death of two minors last weekend.  The agency said that the rains have caused some 30 mudslides and sinkholes on several highways and have flooded more than a score of communities in the nation’s interior.","Senahu, Alta Verapaz province",5km,downpour,medium,unknown,mudslide,2.0,0.0,nan,nan,nan,glc,2354.0,Guatemala,GT,5633.0,1,0,1,0,0,0,1,0,1,1,0
"At least six people died and three more have gone missing in a landslide that crashed onto a rural village of the Colombian municipality of Cumbal in the southwestern province of Nariño, emergency management officials told EFE on Tuesday.  The landslide occurred in the village of Miraflores, located some eight hours on foot from Cumbal, where emergency management teams and firefighters went to take care of the injured, officials said.  Due to the distance and the rough terrain, there is still no official report from the rescuers, nor have the identities of the fatalities nor the causes of the landslide been announced.",Cumbal,1km,unknown,medium,natural_slope,landslide,6.0,0.0,nan,nan,nan,glc,9247.0,Colombia,CO,7529.0,0,0,0,0,0,0,1,0,0,0,1
"March 17, 2011 12:55 PM   MANILA, Philippines - Seven members of a family were killed after their house was hit by a landslide in Tacloban City, the government's disaster management agency confirmed before noon today.  In an 11 a.m. report, the Natinal Disaster Risk Reduction and Management Council (NDRRMC) said the victims' house in Barangay Cabalawan was buried by mud after a landslide early today.  The NDRRMC identified the fatalities as Marlon Jordan, 35; his wife Genita, 35; and their children Angelita, 14; Marita; John Paul; John Rey, 4; and Hernie, 3.  ...  The landslides occurred due to continuous rains over the province during the last two days. Heavy rains in the province have also caused flooding in several areas.","barangay Cabalawan(Kabalawan), Tacloban municipality, Leyte province",10km,downpour,medium,unknown,landslide,7.0,0.0,nan,nan,nan,glc,3247.0,Philippines,PH,2325.0,1,0,1,0,0,0,1,0,0,0,1
"The Sawang Boriboon Rescue Volunteers were called out on the afternoon of Monday, 14th July to a construction site on Soi Khao Noi in East Pattaya, after receiving a report that a landslide had occurred, leaving one man injured. At Chokchai 2 condos, the team found 45 year old Mr. Narit with bruises and immediately gave him first aid, after he had been trapped whilst working in a manmade pond, as the soft soil collapsed on top of him.  Thankfully, two other workers saw the incident and managed to quickly dig him out in time before he suffocated. Narit was then transferred to Bangkok Hospital Pattaya for a check up.  A report was made but no further investigation will take place as the cause of the landslide was from heavy rain the night before.  All workers were told to be extra careful whilst working at the site, especially after heavy rainfall.",Soi Khao Noi,1km,downpour,small,mine,landslide,0.0,1.0,nan,nan,nan,glc,6144.0,Thailand,TH,219164.0,1,0,1,0,0,0,0,0,0,0,1
"Debris flow disaster occured at Fukuchi cho, Fukuoka, Japan, July 24, 2009. One person was killed and 2 people were injured by debris flow disasters. A 73-year-old man was found in a home destroyed by a landslide and was pronounced dead at a hospital, while two other people were missing in the area, police said. A 67-year-old man was crushed to death when a wall fell on top of him in a landslide in Nagasaki Prefecture. ","Fukuchi cho, Fukuoka, Kyushu Island",5km,downpour,medium,unknown,debris_flow,1.0,0.0,nan,nan,nan,glc,1059.0,Japan,JP,32588.0,1,0,1,0,0,0,1,0,1,0,0
"Two other bodies of people who had been trapped when a hillside collapsed in Medellin’s La Sierra neighborhood were also recovered on Sunday by firefighters and members of emergency organizations, Municipal Disaster Prevention and Relief System chief Martin Molina said.  On Saturday afternoon, several streams overflowed, forcing authorities to close the Southern Highway in the area south of Bogota, while in the cities of Medellin and Cali, the overflowing rivers and mudslides also forced vehicle traffic to be restricted.","La Sierra neighborhood(?), Medellin",25km,downpour,medium,unknown,mudslide,2.0,0.0,nan,nan,nan,glc,2721.0,Colombia,CO,1999979.0,1,0,1,0,0,0,1,0,0,1,0
"A mother and her son died after a mountainside in the Shimane Prefecture city of Matsue gave way following heavy rain and huge rocks crushed part of their home, police said.  Police said that at about 2 a.m. on July 16 two rocks each measuring about four meters in diameter fell from a mountainside and slammed into the first floor of the two-story home, leaving 37-year-old resident Rumiko Kusamoto, and her children Ryoga, 7, and Mizuki, 11 trapped under the debris.  Mizuki, who suffered a broken left leg, was rescued about three hours later. Kusamoto and her 7-year-old son were brought out of the home about 10 hours later, but they were confirmed dead in hospital.","Matsue, Shimane Prefecture",5km,downpour,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,2087.0,Japan,JP,156811.0,1,0,1,0,0,0,1,0,1,0,1
"Rescue workers looking for at least five people believed to be trapped under a landslide have resumed their search in Chinautla, Guatemala, a volunteer firefighter said Thursday.  Bad weather had initially forced the frantic search for survivors to stop just hours after the sides of a steep hillside collapsed Wednesday on top of a group of women gathering firewood.  Chinautla is about 10 miles north of Guatemala City.","between Tiera Nueva neigborhood and nearby forest, Chinautla, 10 mi north of Guatemala city",1km,downpour,medium,unknown,landslide,5.0,0.0,nan,nan,nan,glc,2107.0,Guatemala,GT,97172.0,1,0,1,0,0,0,1,0,0,0,1
"Tuesday, 24 August 2010 12:43   At least five persons were killed due to floods and landslides triggered by heavy rainfall in many parts of the country on Monday.  Similarly, landslide buried Laisi Chepang in Kakada VDC-7 in Makwanpur district.","Kakanda VDC-7(?), Makwanpur district",10km,downpour,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,2316.0,Nepal,NP,84775.0,1,0,1,0,0,0,1,0,0,0,1
"Possibly induced by quarrying, he was in a backhoe",Carcar City,10km,construction,medium,unknown,complex,1.0,0.0,nan,nan,nan,glc,184.0,Philippines,PH,5027.0,0,0,0,0,1,0,1,0,0,0,0
"In Boise County, a man was injured while driving on the Banks to Lowman Road on Saturday afternoon when a boulder struck the top of his Honda Accord and the windshield. Authorities say the man suffered a head laceration and was taken to Saint Alphonsus in Boise for treatment.",the Banks to Lowman Road,10km,rain,small,above_road,rock_fall,0.0,1.0,nan,http://content.krem.com/photo/2016/02/28/Rock%20slide_1456674547808_462960_ver1.0.jpg,nan,glc,7530.0,United States,US,485.0,1,0,0,0,0,0,0,0,0,0,0
